Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,1387,-7320.540000000009,-7833.829999999985,1389,6,conv_MDG-a_1_n500_m50.txt,127.004202,7833.83252,0,6.55
2,6423,-7272.2499999999945,-7833.830000000016,1279,7,conv_MDG-a_1_n500_m50.txt,108.215332,7833.83252,0,7.17
3,971,-7233.070000000011,-7810.329999999998,741,4,conv_MDG-a_1_n500_m50.txt,73.102549,7833.83252,0.3,7.67
4,4094,-7185.189999999999,-7814.979999999999,959,7,conv_MDG-a_1_n500_m50.txt,91.351645,7833.83252,0.24,8.28
5,3278,-7249.779999999995,-7833.830000000009,999,7,conv_MDG-a_1_n500_m50.txt,88.573482,7833.83252,0,7.46
6,7722,-7488.350000000005,-7823.719999999999,511,2,conv_MDG-a_1_n500_m50.txt,46.380332,7833.83252,0.13,4.41
7,6981,-7331.079999999993,-7825.92,945,7,conv_MDG-a_1_n500_m50.txt,92.366496,7833.83252,0.1,6.42
8,376,-7276.299999999998,-7828.400000000004,1633,9,conv_MDG-a_1_n500_m50.txt,146.715806,7833.83252,0.07,7.12
9,5154,-7295.870000000001,-7800.609999999999,769,5,conv_MDG-a_1_n500_m50.txt,61.894635,7833.83252,0.42,6.87
10,3436,-7320.709999999992,-7819.740000000006,533,2,conv_MDG-a_1_n500_m50.txt,53.806177,7833.83252,0.18,6.55
1,4548,-7292.309999999995,-7771.660000000004,602,9,conv_MDG-a_2_n500_m50.txt,58.633505,7771.66162,0,6.17
2,2650,-7312.289999999997,-7718.900000000004,1153,7,conv_MDG-a_2_n500_m50.txt,99.083405,7771.66162,0.68,5.91
3,3651,-7319.350000000007,-7741.7,775,4,conv_MDG-a_2_n500_m50.txt,66.245701,7771.66162,0.39,5.82
4,93,-7278.7600000000075,-7726.7499999999945,942,6,conv_MDG-a_2_n500_m50.txt,82.645323,7771.66162,0.58,6.34
5,13113,-7307.930000000005,-7710.960000000005,551,5,conv_MDG-a_2_n500_m50.txt,57.733873,7771.66162,0.78,5.97
6,16229,-7390.199999999996,-7771.659999999999,999,10,conv_MDG-a_2_n500_m50.txt,81.337105,7771.66162,0,4.91
