Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,4780,-22845063,-24806500,18,2,conv_MDG-c_1_n3000_m300.txt,7438.983005,24884110,0.31,8.19
2,7212,-22785159,-24834811,10,3,conv_MDG-c_1_n3000_m300.txt,7631.826292,24884110,0.2,8.43
3,11461,-22789613,-24799614,9,3,conv_MDG-c_1_n3000_m300.txt,7630.640685,24884110,0.34,8.42
4,7180,-22861269,-24809993,13,1,conv_MDG-c_1_n3000_m300.txt,8036.956693,24884110,0.3,8.13
5,8986,-22733125,-24775254,8,2,conv_MDG-c_1_n3000_m300.txt,7922.319544,24884110,0.44,8.64
6,5281,-22799206,-24811572,9,1,conv_MDG-c_1_n3000_m300.txt,7256.011719,24884110,0.29,8.38
7,8222,-22777181,-24801521,9,2,conv_MDG-c_1_n3000_m300.txt,8320.384244,24884110,0.33,8.47
8,15829,-22797539,-24766318,10,3,conv_MDG-c_1_n3000_m300.txt,7217.310503,24884110,0.47,8.39
9,14256,-22785974,-24810184,12,3,conv_MDG-c_1_n3000_m300.txt,7897.525125,24884110,0.3,8.43
10,4786,-22741391,-24806506,8,3,conv_MDG-c_1_n3000_m300.txt,7530.177656,24884110,0.31,8.61
1,6324,-22835046,-24773267,13,4,conv_MDG-c_2_n3000_m300.txt,7983.47328,24905330,0.53,8.31
2,3785,-22732967,-24798522,9,3,conv_MDG-c_2_n3000_m300.txt,8180.412098,24905330,0.43,8.72
3,6056,-22811161,-24783749,13,1,conv_MDG-c_2_n3000_m300.txt,7968.076753,24905330,0.49,8.41
4,6820,-22757255,-24772165,10,4,conv_MDG-c_2_n3000_m300.txt,8237.422427,24905330,0.53,8.62
5,2836,-22774637,-24768906,12,2,conv_MDG-c_2_n3000_m300.txt,7654.202157,24905330,0.55,8.56
6,7649,-22781152,-24828830,12,2,conv_MDG-c_2_n3000_m300.txt,7887.80716,24905330,0.31,8.53
7,7127,-22770246,-24803897,9,2,conv_MDG-c_2_n3000_m300.txt,8432.927211,24905330,0.41,8.57
8,1887,-22753390,-24784184,6,3,conv_MDG-c_2_n3000_m300.txt,7503.942286,24905330,0.49,8.64
9,5987,-22784978,-24798893,10,5,conv_MDG-c_2_n3000_m300.txt,7737.702003,24905330,0.43,8.51
10,3819,-22778787,-24771754,9,2,conv_MDG-c_2_n3000_m300.txt,7555.349833,24905330,0.54,8.54
1,10156,-22744236,-24779542,11,2,conv_MDG-c_3_n3000_m300.txt,7864.88136,24900820,0.49,8.66
2,5084,-22775449,-24753482,10,3,conv_MDG-c_3_n3000_m300.txt,7240.855768,24900820,0.59,8.54
3,390,-22853237,-24762798,13,4,conv_MDG-c_3_n3000_m300.txt,7656.427551,24900820,0.55,8.22
4,18507,-22810810,-24786444,12,2,conv_MDG-c_3_n3000_m300.txt,7638.798973,24900820,0.46,8.39
5,1387,-22723150,-24787373,8,5,conv_MDG-c_3_n3000_m300.txt,7968.886413,24900820,0.46,8.75
6,6423,-22757208,-24775475,8,1,conv_MDG-c_3_n3000_m300.txt,7728.826737,24900820,0.5,8.61
7,971,-22760459,-24787843,10,2,conv_MDG-c_3_n3000_m300.txt,7911.082025,24900820,0.45,8.6
8,4094,-22772772,-24785492,11,1,conv_MDG-c_3_n3000_m300.txt,8165.435542,24900820,0.46,8.55
9,3278,-22771410,-24786023,9,4,conv_MDG-c_3_n3000_m300.txt,8011.625036,24900820,0.46,8.55
10,7722,-22774213,-24832594,10,1,conv_MDG-c_3_n3000_m300.txt,8196.884029,24900820,0.27,8.54
1,6981,-22797785,-24787709,13,3,conv_MDG-c_4_n3000_m300.txt,8108.65439,24900424,0.45,8.44
2,376,-22849868,-24796360,12,5,conv_MDG-c_4_n3000_m300.txt,7918.460351,24900424,0.42,8.24
3,5154,-22749195,-24765107,9,3,conv_MDG-c_4_n3000_m300.txt,7713.393068,24900424,0.54,8.64
4,3436,-22820077,-24773589,9,4,conv_MDG-c_4_n3000_m300.txt,7764.737238,24900424,0.51,8.35
5,4548,-22770624,-24769498,9,2,conv_MDG-c_4_n3000_m300.txt,7626.026706,24900424,0.53,8.55
6,2650,-22765273,-24805583,12,5,conv_MDG-c_4_n3000_m300.txt,7336.432137,24900424,0.38,8.57
7,3651,-22769912,-24780868,11,2,conv_MDG-c_4_n3000_m300.txt,7869.394342,24900424,0.48,8.56
8,93,-22773484,-24765823,10,2,conv_MDG-c_4_n3000_m300.txt,7289.852344,24900424,0.54,8.54
9,13113,-22721191,-24782822,7,1,conv_MDG-c_4_n3000_m300.txt,7515.733332,24900424,0.47,8.75
10,16229,-22760092,-24760275,12,1,conv_MDG-c_4_n3000_m300.txt,7558.751946,24900424,0.56,8.6
1,8600,-22746825,-24749606,9,3,conv_MDG-c_5_n3000_m300.txt,7678.368419,24899703,0.6,8.65
2,1106,-22720388,-24772105,9,3,conv_MDG-c_5_n3000_m300.txt,7247.095519,24899703,0.51,8.75
3,10048,-22744224,-24751332,10,6,conv_MDG-c_5_n3000_m300.txt,7361.94311,24899703,0.6,8.66
4,13584,-22725059,-24800538,9,3,conv_MDG-c_5_n3000_m300.txt,8280.374887,24899703,0.4,8.73
5,567,-22696832,-24735559,8,3,conv_MDG-c_5_n3000_m300.txt,7945.376274,24899703,0.66,8.85
6,24168,-22834211,-24768417,12,2,conv_MDG-c_5_n3000_m300.txt,8240.501269,24899703,0.53,8.3
7,8856,-22780175,-24791253,11,2,conv_MDG-c_5_n3000_m300.txt,7733.253784,24899703,0.44,8.51
8,9306,-22749424,-24759128,10,1,conv_MDG-c_5_n3000_m300.txt,8142.362805,24899703,0.56,8.64
9,11940,-22736678,-24744400,7,2,conv_MDG-c_5_n3000_m300.txt,7473.042641,24899703,0.62,8.69
10,20910,-22749009,-24748642,11,1,conv_MDG-c_5_n3000_m300.txt,8076.968296,24899703,0.61,8.64
1,16353,-40213065,-43274515,3,1,conv_MDG-c_6_n3000_m400.txt,10076.497789,43465087,0.44,7.48
2,464,-40275683,-43233913,4,2,conv_MDG-c_6_n3000_m400.txt,9811.235961,43465087,0.53,7.34
3,10910,-40237847,-43259218,4,1,conv_MDG-c_6_n3000_m400.txt,9791.297896,43465087,0.47,7.42
4,8505,-40189961,-43298925,3,2,conv_MDG-c_6_n3000_m400.txt,7762.131181,43465087,0.38,7.54
5,20994,-40269756,-43339686,4,1,conv_MDG-c_6_n3000_m400.txt,10366.259126,43465087,0.29,7.35
6,6653,-40284833,-43318616,5,3,conv_MDG-c_6_n3000_m400.txt,9205.402214,43465087,0.34,7.32
7,206,-40227398,-43273419,5,2,conv_MDG-c_6_n3000_m400.txt,10458.037923,43465087,0.44,7.45
8,12012,-40236916,-43264000,3,1,conv_MDG-c_6_n3000_m400.txt,10167.415293,43465087,0.46,7.43
9,7345,-40200966,-43334842,2,1,conv_MDG-c_6_n3000_m400.txt,7895.602183,43465087,0.3,7.51
10,8689,-40182042,-43253509,3,2,conv_MDG-c_6_n3000_m400.txt,9765.323774,43465087,0.49,7.55
1,15263,-40253758,-43288980,3,2,conv_MDG-c_7_n3000_m400.txt,9741.696153,43472804,0.42,7.4
2,2312,-40222681,-43278871,3,3,conv_MDG-c_7_n3000_m400.txt,9877.098854,43472804,0.45,7.48
3,767,-40204661,-43354928,4,2,conv_MDG-c_7_n3000_m400.txt,10750.774252,43472804,0.27,7.52
4,12551,-40264148,-43283699,3,3,conv_MDG-c_7_n3000_m400.txt,9555.570597,43472804,0.43,7.38
5,9011,-40325420,-43286774,5,1,conv_MDG-c_7_n3000_m400.txt,7305.803578,43472804,0.43,7.24
6,1119,-40297686,-43292985,4,2,conv_MDG-c_7_n3000_m400.txt,9762.10473,43472804,0.41,7.3
7,1670,-40215174,-43323669,3,3,conv_MDG-c_7_n3000_m400.txt,10125.121144,43472804,0.34,7.49
8,7441,-40212603,-43309581,3,2,conv_MDG-c_7_n3000_m400.txt,9574.65906,43472804,0.38,7.5
9,4994,-40179783,-43275961,2,1,conv_MDG-c_7_n3000_m400.txt,7640.355891,43472804,0.45,7.57
10,7257,-40159627,-43318904,2,1,conv_MDG-c_7_n3000_m400.txt,7317.009893,43472804,0.35,7.62
1,11391,-40242254,-43286607,3,1,conv_MDG-c_8_n3000_m400.txt,9894.487613,43437261,0.35,7.36
2,7772,-40232756,-43302858,4,1,conv_MDG-c_8_n3000_m400.txt,10654.92453,43437261,0.31,7.38
3,3156,-40272986,-43293378,5,2,conv_MDG-c_8_n3000_m400.txt,7476.103319,43437261,0.33,7.28
4,7649,-40193205,-43324164,3,2,conv_MDG-c_8_n3000_m400.txt,10525.262097,43437261,0.26,7.47
5,6208,-40220939,-43252573,2,1,conv_MDG-c_8_n3000_m400.txt,7454.088244,43437261,0.43,7.4
6,8422,-40185916,-43304007,3,1,conv_MDG-c_8_n3000_m400.txt,9949.836611,43437261,0.31,7.49
7,16974,-40203725,-43297908,3,1,conv_MDG-c_8_n3000_m400.txt,10358.261895,43437261,0.32,7.44
8,10351,-40360763,-43299832,5,1,conv_MDG-c_8_n3000_m400.txt,10244.209659,43437261,0.32,7.08
9,15231,-40214312,-43300919,3,1,conv_MDG-c_8_n3000_m400.txt,10354.410128,43437261,0.31,7.42
10,6533,-40230408,-43282674,3,2,conv_MDG-c_8_n3000_m400.txt,7566.961615,43437261,0.36,7.38
1,7837,-40254915,-43261817,4,1,conv_MDG-c_9_n3000_m400.txt,10719.375389,43437861,0.41,7.33
2,5467,-40198451,-43219762,3,2,conv_MDG-c_9_n3000_m400.txt,7281.8914,43437861,0.5,7.46
3,9635,-40228858,-43230821,4,1,conv_MDG-c_9_n3000_m400.txt,10044.461282,43437861,0.48,7.39
4,6996,-40143609,-43285052,2,2,conv_MDG-c_9_n3000_m400.txt,7622.195057,43437861,0.35,7.58
5,11349,-40201944,-43274139,3,3,conv_MDG-c_9_n3000_m400.txt,9682.529299,43437861,0.38,7.45
6,18211,-40292984,-43252891,8,2,conv_MDG-c_9_n3000_m400.txt,10697.387821,43437861,0.43,7.24
7,6855,-40178374,-43309029,2,1,conv_MDG-c_9_n3000_m400.txt,7317.995977,43437861,0.3,7.5
8,6032,-40181807,-43300001,4,2,conv_MDG-c_9_n3000_m400.txt,10536.3931,43437861,0.32,7.5
9,1414,-40175034,-43232755,3,2,conv_MDG-c_9_n3000_m400.txt,9837.232768,43437861,0.47,7.51
10,5879,-40202807,-43259586,3,1,conv_MDG-c_9_n3000_m400.txt,10050.797118,43437861,0.41,7.45
1,17825,-40216513,-43267619,4,1,conv_MDG-c_10_n3000_m400.txt,9719.568807,43476251,0.48,7.5
2,6118,-40202459,-43263291,3,1,conv_MDG-c_10_n3000_m400.txt,9998.064817,43476251,0.49,7.53
3,15013,-40253563,-43256503,3,2,conv_MDG-c_10_n3000_m400.txt,10360.19307,43476251,0.51,7.41
4,6418,-40166702,-43337228,2,2,conv_MDG-c_10_n3000_m400.txt,7322.375416,43476251,0.32,7.61
5,3670,-40198374,-43282671,2,2,conv_MDG-c_10_n3000_m400.txt,7355.339961,43476251,0.45,7.54
6,9517,-40299685,-43288482,3,1,conv_MDG-c_10_n3000_m400.txt,9608.402691,43476251,0.43,7.31
7,2110,-40237765,-43281329,5,3,conv_MDG-c_10_n3000_m400.txt,9896.924354,43476251,0.45,7.45
8,2837,-40233588,-43260863,3,1,conv_MDG-c_10_n3000_m400.txt,9652.252788,43476251,0.5,7.46
9,10321,-40245746,-43286272,4,1,conv_MDG-c_10_n3000_m400.txt,10651.615802,43476251,0.44,7.43
10,15953,-40297164,-43255899,7,1,conv_MDG-c_10_n3000_m400.txt,10374.217352,43476251,0.51,7.31
