Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,7139,-62719230,-66771226,1,1,conv_MDG-c_11_n3000_m500.txt,8220.88612,66987801,0.32,6.37
2,1654,-62697878,-66822889,1,1,conv_MDG-c_11_n3000_m500.txt,9030.937921,66987801,0.25,6.4
3,7966,-62653627,-66840526,1,1,conv_MDG-c_11_n3000_m500.txt,9047.744651,66987801,0.22,6.47
4,4705,-62726270,-66799707,1,1,conv_MDG-c_11_n3000_m500.txt,8629.652359,66987801,0.28,6.36
5,9865,-62756125,-66780346,1,1,conv_MDG-c_11_n3000_m500.txt,7483.370912,66987801,0.31,6.32
6,6727,-62753546,-66817742,1,1,conv_MDG-c_11_n3000_m500.txt,8441.94989,66987801,0.25,6.32
7,4305,-62682026,-66829809,1,1,conv_MDG-c_11_n3000_m500.txt,9918.480792,66987801,0.24,6.43
8,3302,-62714785,-66851632,1,1,conv_MDG-c_11_n3000_m500.txt,9928.062111,66987801,0.2,6.38
9,5857,-62647309,-66811849,1,1,conv_MDG-c_11_n3000_m500.txt,8890.197124,66987801,0.26,6.48
10,6271,-62823479,-66784680,2,2,conv_MDG-c_11_n3000_m500.txt,14877.842031,66987801,0.3,6.22
1,2854,-62715514,-66834026,1,1,conv_MDG-c_12_n3000_m500.txt,10031.249573,67021888,0.28,6.43
2,5876,-62737967,-66753350,1,1,conv_MDG-c_12_n3000_m500.txt,7284.210474,67021888,0.4,6.39
3,7111,-62666497,-66843643,1,1,conv_MDG-c_12_n3000_m500.txt,8308.319955,67021888,0.27,6.5
4,6729,-62694188,-66784117,1,1,conv_MDG-c_12_n3000_m500.txt,7998.990639,67021888,0.35,6.46
5,5066,-62750219,-66655085,1,1,conv_MDG-c_12_n3000_m500.txt,7587.618867,67021888,0.55,6.37
6,973,-62655470,-66731734,1,1,conv_MDG-c_12_n3000_m500.txt,7653.239662,67021888,0.43,6.51
7,7328,-62682635,-66824947,1,1,conv_MDG-c_12_n3000_m500.txt,9220.827479,67021888,0.29,6.47
8,4352,-62817354,-66792937,2,1,conv_MDG-c_12_n3000_m500.txt,14927.063116,67021888,0.34,6.27
9,1544,-62764784,-66833445,2,1,conv_MDG-c_12_n3000_m500.txt,14914.086369,67021888,0.28,6.35
10,12185,-62706927,-66750035,1,1,conv_MDG-c_12_n3000_m500.txt,7930.6428,67021888,0.41,6.44
1,20027,-62679506,-66824012,1,1,conv_MDG-c_13_n3000_m500.txt,8774.355724,67014051,0.28,6.47
2,5029,-62726455,-66828017,1,1,conv_MDG-c_13_n3000_m500.txt,9072.940301,67014051,0.28,6.4
3,1860,-62826357,-66795454,1,1,conv_MDG-c_13_n3000_m500.txt,8046.478863,67014051,0.33,6.25
4,15078,-62726392,-66771117,1,1,conv_MDG-c_13_n3000_m500.txt,9353.571517,67014051,0.36,6.4
5,15884,-62744469,-66825660,1,1,conv_MDG-c_13_n3000_m500.txt,9998.502257,67014051,0.28,6.37
6,1645,-62723861,-66817956,1,1,conv_MDG-c_13_n3000_m500.txt,7730.137656,67014051,0.29,6.4
7,6089,-62705451,-66836558,1,1,conv_MDG-c_13_n3000_m500.txt,8076.369538,67014051,0.26,6.43
8,2981,-62673055,-66780391,1,1,conv_MDG-c_13_n3000_m500.txt,7582.76719,67014051,0.35,6.48
9,3159,-62706787,-66771065,1,1,conv_MDG-c_13_n3000_m500.txt,7319.531644,67014051,0.36,6.43
10,3440,-62751549,-66862060,1,1,conv_MDG-c_13_n3000_m500.txt,8264.774075,67014051,0.23,6.36
1,2851,-62697795,-66767271,1,1,conv_MDG-c_14_n3000_m500.txt,7538.184413,66979606,0.32,6.39
2,4099,-62760089,-66760256,3,1,conv_MDG-c_14_n3000_m500.txt,14389.608581,66979606,0.33,6.3
3,13320,-62810274,-66829012,2,2,conv_MDG-c_14_n3000_m500.txt,14298.622811,66979606,0.22,6.22
4,11842,-62707354,-66822210,1,1,conv_MDG-c_14_n3000_m500.txt,7872.380661,66979606,0.23,6.38
5,1153,-62735912,-66807387,1,1,conv_MDG-c_14_n3000_m500.txt,7681.648084,66979606,0.26,6.34
6,1225,-62655850,-66783086,1,1,conv_MDG-c_14_n3000_m500.txt,9203.338445,66979606,0.29,6.46
7,10220,-62736281,-66776945,1,1,conv_MDG-c_14_n3000_m500.txt,7690.367318,66979606,0.3,6.34
8,12502,-62696168,-66790676,1,1,conv_MDG-c_14_n3000_m500.txt,8013.247125,66979606,0.28,6.4
9,11448,-62772675,-66814194,1,1,conv_MDG-c_14_n3000_m500.txt,8758.067137,66979606,0.25,6.28
10,5868,-62737522,-66782538,1,1,conv_MDG-c_14_n3000_m500.txt,8134.423224,66979606,0.29,6.33
1,7219,-62777197,-66828868,1,1,conv_MDG-c_15_n3000_m500.txt,7989.518156,66992877,0.24,6.29
2,12754,-62697672,-66839116,1,1,conv_MDG-c_15_n3000_m500.txt,7759.216545,66992877,0.23,6.41
3,5929,-62717911,-66873946,2,1,conv_MDG-c_15_n3000_m500.txt,14214.51592,66992877,0.18,6.38
4,5448,-62713202,-66826663,1,1,conv_MDG-c_15_n3000_m500.txt,7372.453025,66992877,0.25,6.39
5,3496,-62699403,-66858446,1,1,conv_MDG-c_15_n3000_m500.txt,7868.281794,66992877,0.2,6.41
6,4703,-62714593,-66797604,1,1,conv_MDG-c_15_n3000_m500.txt,7973.475645,66992877,0.29,6.39
7,7228,-62742915,-66925241,1,1,conv_MDG-c_15_n3000_m500.txt,7423.965093,66992877,0.1,6.34
8,3981,-62678482,-66906861,1,1,conv_MDG-c_15_n3000_m500.txt,8401.166241,66992877,0.13,6.44
9,6441,-62734187,-66888245,1,1,conv_MDG-c_15_n3000_m500.txt,8484.662257,66992877,0.16,6.36
10,8727,-62703488,-66821488,1,1,conv_MDG-c_15_n3000_m500.txt,7221.829821,66992877,0.26,6.4
1,1431,-90239468,-95378564,1,1,conv_MDG-c_16_n3000_m600.txt,13952.107315,95556435,0.19,5.56
2,1238,-90312258,-95346165,1,1,conv_MDG-c_16_n3000_m600.txt,14183.432831,95556435,0.22,5.49
3,23271,-90397420,-95457629,1,1,conv_MDG-c_16_n3000_m600.txt,19297.121241,95556435,0.1,5.4
4,4776,-90262252,-95325192,1,1,conv_MDG-c_16_n3000_m600.txt,14505.821981,95556435,0.24,5.54
5,9292,-90249943,-95323154,1,1,conv_MDG-c_16_n3000_m600.txt,14414.834583,95556435,0.24,5.55
6,10231,-90296731,-95426589,1,1,conv_MDG-c_16_n3000_m600.txt,14387.086904,95556435,0.14,5.5
7,2635,-90245309,-95452939,1,1,conv_MDG-c_16_n3000_m600.txt,14667.918624,95556435,0.11,5.56
8,8,-90242992,-95430686,1,1,conv_MDG-c_16_n3000_m600.txt,16708.944333,95556435,0.13,5.56
9,6042,-90312946,-95303817,1,1,conv_MDG-c_16_n3000_m600.txt,13516.370451,95556435,0.26,5.49
10,6171,-90245509,-95374480,1,1,conv_MDG-c_16_n3000_m600.txt,13065.022699,95556435,0.19,5.56
1,2270,-90224719,-95363996,1,1,conv_MDG-c_17_n3000_m600.txt,15952.406332,95645826,0.29,5.67
2,4875,-90259682,-95341548,1,1,conv_MDG-c_17_n3000_m600.txt,15516.963223,95645826,0.32,5.63
3,4766,-90202437,-95258964,1,1,conv_MDG-c_17_n3000_m600.txt,14898.183706,95645826,0.4,5.69
4,798,-90223087,-95323097,1,1,conv_MDG-c_17_n3000_m600.txt,14348.453502,95645826,0.34,5.67
5,11759,-90209704,-95326542,1,1,conv_MDG-c_17_n3000_m600.txt,15918.775589,95645826,0.33,5.68
6,7811,-90234719,-95326557,1,1,conv_MDG-c_17_n3000_m600.txt,14858.311502,95645826,0.33,5.66
7,4967,-90298437,-95338321,1,1,conv_MDG-c_17_n3000_m600.txt,16753.312522,95645826,0.32,5.59
8,7941,-90252113,-95349227,1,1,conv_MDG-c_17_n3000_m600.txt,14918.137691,95645826,0.31,5.64
9,1520,-90212944,-95355848,1,1,conv_MDG-c_17_n3000_m600.txt,16151.700845,95645826,0.3,5.68
10,2970,-90220806,-95281125,1,1,conv_MDG-c_17_n3000_m600.txt,15111.597769,95645826,0.38,5.67
1,5149,-90263530,-95243697,1,1,conv_MDG-c_18_n3000_m600.txt,15694.678368,95629207,0.4,5.61
2,6405,-90200757,-95299350,1,1,conv_MDG-c_18_n3000_m600.txt,16917.488122,95629207,0.34,5.68
3,3256,-90235874,-95277469,1,1,conv_MDG-c_18_n3000_m600.txt,15611.749529,95629207,0.37,5.64
4,7288,-90240396,-95226030,1,1,conv_MDG-c_18_n3000_m600.txt,12833.099613,95629207,0.42,5.64
5,7771,-90396896,-95291180,1,1,conv_MDG-c_18_n3000_m600.txt,14044.100727,95629207,0.35,5.47
6,6779,-90170438,-95337388,1,1,conv_MDG-c_18_n3000_m600.txt,12444.702918,95629207,0.31,5.71
7,6848,-90206017,-95271314,1,1,conv_MDG-c_18_n3000_m600.txt,14498.383709,95629207,0.37,5.67
8,17254,-90306454,-95363111,1,1,conv_MDG-c_18_n3000_m600.txt,14455.368737,95629207,0.28,5.57
9,3758,-90226167,-95303930,1,1,conv_MDG-c_18_n3000_m600.txt,14976.645244,95629207,0.34,5.65
10,5193,-90253248,-95352754,1,1,conv_MDG-c_18_n3000_m600.txt,16603.65841,95629207,0.29,5.62
1,8878,-90296044,-95368926,1,1,conv_MDG-c_19_n3000_m600.txt,13841.606206,95633549,0.28,5.58
2,19498,-90313778,-95446234,1,1,conv_MDG-c_19_n3000_m600.txt,15583.322985,95633549,0.2,5.56
3,3771,-90287111,-95320408,1,1,conv_MDG-c_19_n3000_m600.txt,14382.921002,95633549,0.33,5.59
4,231,-90234392,-95253148,1,1,conv_MDG-c_19_n3000_m600.txt,12503.852701,95633549,0.4,5.65
5,1857,-90293114,-95342207,1,1,conv_MDG-c_19_n3000_m600.txt,14563.888662,95633549,0.3,5.58
6,2237,-90301174,-95452485,1,1,conv_MDG-c_19_n3000_m600.txt,15608.230769,95633549,0.19,5.58
7,7292,-90310184,-95347673,1,1,conv_MDG-c_19_n3000_m600.txt,14137.049859,95633549,0.3,5.57
8,2031,-90254154,-95344809,1,1,conv_MDG-c_19_n3000_m600.txt,13068.729483,95633549,0.3,5.63
9,9430,-90426030,-95271216,1,1,conv_MDG-c_19_n3000_m600.txt,14298.21044,95633549,0.38,5.45
10,3391,-90203719,-95443599,1,1,conv_MDG-c_19_n3000_m600.txt,16815.468004,95633549,0.2,5.68
