Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,15010,106784,113699,110,5,conv_MDG-a_40_n2000_m200.txt,7318.197436,114191,199.57,193.51
2,10813,106558,113881,81,7,conv_MDG-a_40_n2000_m200.txt,7246.377808,114191,199.73,193.32
3,10426,107333,113705,107,5,conv_MDG-a_40_n2000_m200.txt,7240.943561,114191,199.57,193.99
4,11957,106433,113734,78,5,conv_MDG-a_40_n2000_m200.txt,7254.220018,114191,199.6,193.21
5,5757,106414,113660,84,3,conv_MDG-a_40_n2000_m200.txt,7265.285047,114191,199.53,193.19
6,12446,106420,113671,89,4,conv_MDG-a_40_n2000_m200.txt,7258.604781,114191,199.54,193.19
7,6573,107420,113726,85,3,conv_MDG-a_40_n2000_m200.txt,7240.297295,114191,199.59,194.07
8,9463,107052,113784,87,8,conv_MDG-a_40_n2000_m200.txt,7232.872186,114191,199.64,193.75
9,17193,107048,113532,95,3,conv_MDG-a_40_n2000_m200.txt,7305.684178,114191,199.42,193.74
10,290,106627,113821,75,4,conv_MDG-a_40_n2000_m200.txt,7241.950183,114191,199.68,193.38
1,23421,106595,113887,84,5,conv_MDG-a_39_n2000_m200.txt,7260.163421,114201,199.73,193.34
2,3225,106193,113480,87,4,conv_MDG-a_39_n2000_m200.txt,7309.042514,114201,199.37,192.99
3,8971,106353,113576,79,3,conv_MDG-a_39_n2000_m200.txt,7202.874473,114201,199.45,193.13
4,11301,105932,113466,77,8,conv_MDG-a_39_n2000_m200.txt,7259.709924,114201,199.36,192.76
5,28605,105963,113464,84,2,conv_MDG-a_39_n2000_m200.txt,7322.874556,114201,199.35,192.79
6,2804,106453,113538,89,4,conv_MDG-a_39_n2000_m200.txt,7228.05682,114201,199.42,193.22
7,11159,106703,113434,92,6,conv_MDG-a_39_n2000_m200.txt,7216.479555,114201,199.33,193.43
8,8417,106581,113566,91,3,conv_MDG-a_39_n2000_m200.txt,7324.284238,114201,199.44,193.33
9,14385,106684,113604,92,7,conv_MDG-a_39_n2000_m200.txt,7211.717631,114201,199.48,193.42
10,15964,106817,113477,102,4,conv_MDG-a_39_n2000_m200.txt,7249.591995,114201,199.37,193.53
1,2492,107691,113667,111,4,conv_MDG-a_38_n2000_m200.txt,7294.249079,114378,199.38,194.15
2,1181,107449,113799,97,5,conv_MDG-a_38_n2000_m200.txt,7227.489911,114378,199.49,193.94
3,25557,107811,113867,105,6,conv_MDG-a_38_n2000_m200.txt,7217.169965,114378,199.55,194.26
4,5265,107028,113775,86,6,conv_MDG-a_38_n2000_m200.txt,7275.576526,114378,199.47,193.57
5,4910,106839,113837,92,5,conv_MDG-a_38_n2000_m200.txt,7200.792994,114378,199.53,193.41
6,4222,107053,113775,101,9,conv_MDG-a_38_n2000_m200.txt,7300.998645,114378,199.47,193.6
7,444,106478,113921,78,4,conv_MDG-a_38_n2000_m200.txt,7287.99815,114378,199.6,193.09
8,14103,107067,113792,104,2,conv_MDG-a_38_n2000_m200.txt,7201.65533,114378,199.49,193.61
9,2347,107026,113907,91,2,conv_MDG-a_38_n2000_m200.txt,7300.588888,114378,199.59,193.57
10,2186,107100,113853,89,2,conv_MDG-a_38_n2000_m200.txt,7300.653246,114378,199.54,193.64
