Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,7212,731045.7499999997,778030.5700000019,1222,7,conv_MDG-b_1_n500_m50.txt,180.714439,778030625,100.1,100.09
2,11461,728345.2100000009,777649.4200000002,527,4,conv_MDG-b_1_n500_m50.txt,78.291121,778030625,100.1,100.09
3,7180,729595.0200000003,775584.3900000005,520,3,conv_MDG-b_1_n500_m50.txt,85.246439,778030625,100.1,100.09
4,8986,726071.1100000008,775400.6100000006,944,6,conv_MDG-b_1_n500_m50.txt,159.688002,778030625,100.1,100.09
5,5281,727672.7700000011,775229.95,754,9,conv_MDG-b_1_n500_m50.txt,135.693875,778030625,100.1,100.09
6,8222,727657.69,774592.1099999996,761,6,conv_MDG-b_1_n500_m50.txt,130.617926,778030625,100.1,100.09
7,15829,731863.2400000012,776181.6400000005,635,6,conv_MDG-b_1_n500_m50.txt,95.258654,778030625,100.1,100.09
8,14256,730117.3299999998,777438.02,882,4,conv_MDG-b_1_n500_m50.txt,125.54063,778030625,100.1,100.09
9,4786,725952.8500000003,778030.5700000011,975,9,conv_MDG-b_1_n500_m50.txt,147.638229,778030625,100.1,100.09
10,6324,732301.2100000002,776798.0000000008,832,4,conv_MDG-b_1_n500_m50.txt,126.100622,778030625,100.1,100.09
1,3785,732424.2400000006,778063.8800000002,938,4,conv_MDG-b_2_n500_m50.txt,138.29517,779963.6875,199.76,193.9
2,6056,723116.540000002,776231.6800000002,1111,10,conv_MDG-b_2_n500_m50.txt,159.853397,779963.6875,199.52,192.71
3,6820,739355.5300000008,775986.3299999995,509,3,conv_MDG-b_2_n500_m50.txt,74.069342,779963.6875,199.49,194.79
4,2836,742981.9799999994,779069.1599999999,1937,13,conv_MDG-b_2_n500_m50.txt,273.382484,779963.6875,199.89,195.26
5,7649,721714.2700000008,778538.7599999985,528,3,conv_MDG-b_2_n500_m50.txt,76.70313,779963.6875,199.82,192.53
6,7127,728257.990000001,776550.0799999989,1293,10,conv_MDG-b_2_n500_m50.txt,193.781247,779963.6875,199.56,193.37
7,1887,734716.7199999997,778979.1099999974,546,8,conv_MDG-b_2_n500_m50.txt,90.448372,779963.6875,199.87,194.2
8,5987,730620.3899999993,776307.0500000011,528,5,conv_MDG-b_2_n500_m50.txt,78.54096,779963.6875,199.53,193.67
9,3819,728662.610000001,776431.009999999,639,5,conv_MDG-b_2_n500_m50.txt,90.153424,779963.6875,199.55,193.42
10,10156,739896.0599999998,777674.18,742,7,conv_MDG-b_2_n500_m50.txt,114.16466,779963.6875,199.71,194.86
1,5084,726554.1000000002,775536.4499999997,621,6,conv_MDG-b_3_n500_m50.txt,91.746364,776768.4375,199.84,193.54
2,390,733934.4799999986,775841.9400000013,518,4,conv_MDG-b_3_n500_m50.txt,86.535963,776768.4375,199.88,194.49
3,18507,729224.3300000005,776768.1700000012,2165,15,conv_MDG-b_3_n500_m50.txt,301.152901,776768.4375,200,193.88
4,1387,720443.0600000004,775435.7299999995,669,5,conv_MDG-b_3_n500_m50.txt,104.663966,776768.4375,199.83,192.75
5,6423,720329.8500000003,774749.0400000007,502,1,conv_MDG-b_3_n500_m50.txt,74.011646,776768.4375,199.74,192.73
6,971,732556.5899999999,775813.11,1192,14,conv_MDG-b_3_n500_m50.txt,171.018618,776768.4375,199.88,194.31
7,4094,725576.6800000009,776349.6500000014,502,1,conv_MDG-b_3_n500_m50.txt,75.921049,776768.4375,199.95,193.41
8,3278,722389.3100000002,776641.1900000016,917,5,conv_MDG-b_3_n500_m50.txt,141.59827,776768.4375,199.98,193
9,7722,728876.72,775365.1800000006,634,6,conv_MDG-b_3_n500_m50.txt,91.675829,776768.4375,199.82,193.83
10,6981,727544.6100000008,776694.73,1519,5,conv_MDG-b_3_n500_m50.txt,226.586524,776768.4375,199.99,193.66
1,376,725843.6500000019,773849.0500000002,1012,9,conv_MDG-b_4_n500_m50.txt,140.201943,775394625,100.1,100.09
2,5154,725816.3400000009,774003.239999999,829,3,conv_MDG-b_4_n500_m50.txt,117.446802,775394625,100.1,100.09
3,3436,732945.6899999996,773418.3000000026,583,4,conv_MDG-b_4_n500_m50.txt,87.31326,775394625,100.1,100.09
4,4548,734133.6500000001,774967.4600000007,1257,7,conv_MDG-b_4_n500_m50.txt,185.339413,775394625,100.1,100.09
