Order,Seed,BRKGA,LS,N_gen,N_imp,Instancia,Duration,Target,LSEr,BKEr
1,12576,10627995.926772017,11258009.670970976,91,4,conv_MDG-b_40_n2000_m200.txt,7218.533758,11307104.80347,0.43,6.01
2,8150,10606251.006723924,11244316.277814945,76,5,conv_MDG-b_40_n2000_m200.txt,7214.935266,11307104.80347,0.56,6.2
3,9219,10646890.918862056,11250482.241164062,104,2,conv_MDG-b_40_n2000_m200.txt,7280.989375,11307104.80347,0.5,5.84
4,19929,10599500.246425943,11261632.796595015,88,5,conv_MDG-b_40_n2000_m200.txt,7216.903562,11307104.80347,0.4,6.26
5,12802,10604617.043047903,11245177.537223002,85,6,conv_MDG-b_40_n2000_m200.txt,7242.343878,11307104.80347,0.55,6.21
6,2570,10597173.420472035,11252813.81145206,80,5,conv_MDG-b_40_n2000_m200.txt,7275.917821,11307104.80347,0.48,6.28
7,6198,10648370.678948037,11258478.274819968,91,5,conv_MDG-b_40_n2000_m200.txt,7282.235365,11307104.80347,0.43,5.83
8,10510,10585772.40373806,11241514.520005032,78,2,conv_MDG-b_40_n2000_m200.txt,7256.816237,11307104.80347,0.58,6.38
9,21701,10604527.848283958,11238680.05246398,90,1,conv_MDG-b_40_n2000_m200.txt,7335.105175,11307104.80347,0.61,6.21
10,13574,10653429.656351019,11236014.796903035,100,5,conv_MDG-b_40_n2000_m200.txt,7263.151299,11307104.80347,0.63,5.78
1,12936,10619613.832203995,11244920.953299014,91,5,conv_MDG-b_39_n2000_m200.txt,7323.49531,11295054.20265,0.44,5.98
2,25443,10628356.549305968,11246748.967294998,93,4,conv_MDG-b_39_n2000_m200.txt,7229.381287,11295054.20265,0.43,5.9
3,2198,10565100.285031036,11238537.56849596,80,6,conv_MDG-b_39_n2000_m200.txt,7278.359604,11295054.20265,0.5,6.46
4,10979,10565908.55667397,11237779.806216996,94,4,conv_MDG-b_39_n2000_m200.txt,7246.843833,11295054.20265,0.51,6.46
5,2570,10648997.887861991,11244078.075641943,84,5,conv_MDG-b_39_n2000_m200.txt,7277.430244,11295054.20265,0.45,5.72
6,1886,10628574.292055985,11252816.107416939,76,6,conv_MDG-b_39_n2000_m200.txt,7271.455813,11295054.20265,0.37,5.9
7,3970,10542571.645639993,11239199.575347,71,3,conv_MDG-b_39_n2000_m200.txt,7217.949222,11295054.20265,0.49,6.66
8,20283,10562033.824445076,11245481.049873995,86,1,conv_MDG-b_39_n2000_m200.txt,7296.345738,11295054.20265,0.44,6.49
9,5064,10612250.859927062,11265029.255856927,77,2,conv_MDG-b_39_n2000_m200.txt,7297.317741,11295054.20265,0.27,6.05
10,18867,10635596.560542976,11238172.23099794,87,3,conv_MDG-b_39_n2000_m200.txt,7223.946418,11295054.20265,0.5,5.84
1,10821,10589065.36025598,11243947.988249965,102,8,conv_MDG-b_38_n2000_m200.txt,7296.57619,11288570.85243,0.4,6.2
2,203,10562878.641449952,11253910.842208985,78,7,conv_MDG-b_38_n2000_m200.txt,7315.975689,11288570.85243,0.31,6.43
3,6749,10599655.68582797,11242228.209833996,77,5,conv_MDG-b_38_n2000_m200.txt,7256.855132,11288570.85243,0.41,6.1
4,6701,10083968.589314973,11251524.320878942,103,1,conv_MDG-b_38_n2000_m200.txt,7278.033081,11288570.85243,0.33,10.67
5,995,10647075.817073002,11257153.435670944,95,6,conv_MDG-b_38_n2000_m200.txt,7217.259935,11288570.85243,0.28,5.68
6,26552,10578987.669061946,11232112.094893033,90,1,conv_MDG-b_38_n2000_m200.txt,7307.932088,11288570.85243,0.5,6.29
7,13859,10652980.839185009,11237141.444438979,102,6,conv_MDG-b_38_n2000_m200.txt,7326.273303,11288570.85243,0.46,5.63
8,5166,10608617.54847996,11237142.668301934,81,4,conv_MDG-b_38_n2000_m200.txt,7207.062474,11288570.85243,0.46,6.02
9,9409,10583093.998747984,11240746.484306997,90,7,conv_MDG-b_38_n2000_m200.txt,7319.964679,11288570.85243,0.42,6.25
10,13053,10612712.54183299,11251528.498916969,75,6,conv_MDG-b_38_n2000_m200.txt,7214.548869,11288570.85243,0.33,5.99
1,11478,10607115.564110035,11254380.944490978,75,4,conv_MDG-b_37_n2000_m200.txt,7221.985048,11290544.79258,0.32,6.05
2,2653,10582142.732924985,11231749.50366905,93,4,conv_MDG-b_37_n2000_m200.txt,7224.224868,11290544.79258,0.52,6.27
3,367,10621345.232133018,11243954.294027003,92,8,conv_MDG-b_37_n2000_m200.txt,7261.078709,11290544.79258,0.41,5.93
4,12960,10627122.32165303,11257673.486772051,97,5,conv_MDG-b_37_n2000_m200.txt,7274.221573,11290544.79258,0.29,5.88
5,1047,10536583.812063012,11241183.201419016,82,7,conv_MDG-b_37_n2000_m200.txt,7326.770467,11290544.79258,0.44,6.68
6,8034,10626429.028064078,11242893.725557098,92,6,conv_MDG-b_37_n2000_m200.txt,7206.064343,11290544.79258,0.42,5.88
7,945,10563194.65404002,11247200.935182057,76,8,conv_MDG-b_37_n2000_m200.txt,7231.603917,11290544.79258,0.38,6.44
8,9268,10614618.49173603,11246043.329119997,80,1,conv_MDG-b_37_n2000_m200.txt,7234.706215,11290544.79258,0.39,5.99
9,12076,10566032.214103041,11256191.96572807,73,4,conv_MDG-b_37_n2000_m200.txt,7209.249595,11290544.79258,0.3,6.42
10,3774,10706469.128061946,11248661.841855938,107,6,conv_MDG-b_37_n2000_m200.txt,7321.457143,11290544.79258,0.37,5.17
1,14936,10575385.820673034,11251129.300306978,77,3,conv_MDG-b_36_n2000_m200.txt,7229.334628,11289469.2741,0.34,6.33
2,7930,10596368.846551051,11263969.94983293,98,6,conv_MDG-b_36_n2000_m200.txt,7221.049769,11289469.2741,0.23,6.14
3,7840,10626976.449582089,11253897.323101062,83,2,conv_MDG-b_36_n2000_m200.txt,7315.497735,11289469.2741,0.32,5.87
4,4302,10593309.787518024,11246333.086201038,79,3,conv_MDG-b_36_n2000_m200.txt,7292.813757,11289469.2741,0.38,6.17
5,10752,10544632.749481006,11261040.458997011,86,7,conv_MDG-b_36_n2000_m200.txt,7272.349289,11289469.2741,0.25,6.6
6,867,10631990.660265045,11244179.915390037,97,4,conv_MDG-b_36_n2000_m200.txt,7210.816745,11289469.2741,0.4,5.82
7,10354,10590842.626937956,11266525.312617972,81,6,conv_MDG-b_36_n2000_m200.txt,7305.675365,11289469.2741,0.2,6.19
8,8021,10627859.61078895,11242568.008567944,90,4,conv_MDG-b_36_n2000_m200.txt,7204.672205,11289469.2741,0.42,5.86
9,6442,10653371.954159027,11258753.956203043,90,7,conv_MDG-b_36_n2000_m200.txt,7236.11265,11289469.2741,0.27,5.63
10,1217,10582989.65359994,11245856.457603922,88,4,conv_MDG-b_36_n2000_m200.txt,7277.781647,11289469.2741,0.39,6.26
1,5866,10613466.473166011,11245795.776900014,85,5,conv_MDG-b_35_n2000_m200.txt,7223.647891,11307424.25576,0.55,6.14
2,14358,10611796.031867906,11247328.109761985,86,1,conv_MDG-b_35_n2000_m200.txt,7303.538331,11307424.25576,0.53,6.15
3,21233,10569179.241927998,11249333.501655985,90,3,conv_MDG-b_35_n2000_m200.txt,7288.468982,11307424.25576,0.51,6.53
4,917,10627599.722429946,11241251.186469996,91,5,conv_MDG-b_35_n2000_m200.txt,7266.759638,11307424.25576,0.59,6.01
5,4587,10583060.977382032,11244268.719846994,84,3,conv_MDG-b_35_n2000_m200.txt,7217.617069,11307424.25576,0.56,6.41
6,15847,10584327.86549999,11235680.103937961,91,2,conv_MDG-b_35_n2000_m200.txt,7240.557724,11307424.25576,0.63,6.39
7,1282,10658124.803428007,11243307.808812045,91,7,conv_MDG-b_35_n2000_m200.txt,7232.409633,11307424.25576,0.57,5.74
8,40149,10634507.21434107,11232853.348215012,99,5,conv_MDG-b_35_n2000_m200.txt,7244.392848,11307424.25576,0.66,5.95
9,9432,10622853.201024976,11229001.098810963,83,3,conv_MDG-b_35_n2000_m200.txt,7209.42676,11307424.25576,0.69,6.05
10,17013,10567618.15977402,11247268.04148906,73,5,conv_MDG-b_35_n2000_m200.txt,7292.065002,11307424.25576,0.53,6.54
